Timestamp,Temperature,Temperature_setpoint,Temperature_error,Temperature_PID_output,Temperature_Kp,Temperature_Ki,Temperature_Kd,Timestamp (s),Diameter,Diameter_setpoint,Fan_duty_cycle,Extruder_RPM,Spooler_setpoint,Spooler_RPM,Spooler_Kp,Spooler_Ki,Spooler_Kd
76.818,60.60293745,90,31.27768692,65.20159244,2,0.001,0.05,1743096691,1.115625,0.35,30,0.1,30,29.69692381,0.8,0.25,0.02
77.094,63.73423646,90,30.54674208,63.77499093,2,0.001,0.05,1743096691,1.115625,0.35,30,0.1,30,30.3314489,0.8,0.25,0.02
77.378,61.52517941,90,30.17350667,63.10349487,2,0.001,0.05,1743096692,1.115625,0.35,30,0.1,30,27.92204637,0.8,0.25,0.02
77.653,61.52517941,90,29.85435632,62.48094592,2,0.001,0.05,1743096692,1.115625,0.35,30,0.1,30,28.71170254,0.8,0.25,0.02
77.934,61.91739462,90,29.69648436,62.20351927,2,0.001,0.05,1743096692,1.115625,0.35,30,0.1,30,29.78049672,0.8,0.25,0.02
78.211,62.43845062,90,29.27251377,61.31542388,2,0.001,0.05,1743096692,1.115625,0.35,30,0.1,30,30.62075195,0.8,0.25,0.02
78.487,72.1798564,90,27.94168591,58.49726232,2,0.001,0.05,1743096692,1.115625,0.35,30,0.1,30,29.52213938,0.8,0.25,0.02
78.794,57.92832138,90,28.08972782,59.06676169,2,0.001,0.05,1743096693,1.115625,0.35,30,0.1,30,30.98418449,0.8,0.25,0.02
79.11,64.12006086,90,27.23723268,57.2116314,2,0.001,0.05,1743096693,1.115625,0.35,30,0.1,30,30.40932068,0.8,0.25,0.02
79.479,64.50489322,90,26.95234902,56.74781024,2,0.001,0.05,1743096693,1.115625,0.35,30,0.1,30,28.68730137,0.8,0.25,0.02
79.789,64.760916,90,26.53655116,55.89587535,2,0.001,0.05,1743096693,1.115625,0.35,30,0.1,30,29.41666337,0.8,0.25,0.02
80.077,63.86295722,90,26.52367909,55.94269491,2,0.001,0.05,1743096693,1.115625,0.35,30,0.1,30,30.71470483,0.8,0.25,0.02
80.384,65.65580686,90,26.11061634,55.0593931,2,0.001,0.05,1743096694,1.115625,0.35,30,0.1,30,30.09929809,0.8,0.25,0.02
80.679,65.9100566,90,25.67212862,54.18327684,2,0.001,0.05,1743096694,1.115625,0.35,30,0.1,30,30.45254194,0.8,0.25,0.02
80.992,67.17606038,90,25.14626205,53.12950301,2,0.001,0.05,1743096694,1.115625,0.35,30,0.1,30,29.07101181,0.8,0.25,0.02
81.286,78.61591137,90,23.52851597,49.70985914,2,0.001,0.05,1743096694,1.115625,0.35,30,0.1,30,27.67857217,0.8,0.25,0.02
81.606,67.55625062,90,23.99087655,50.98960492,2,0.001,0.05,1743096694,1.115625,0.35,30,0.1,30,29.29026876,0.8,0.25,0.02
81.915,67.80802305,90,23.00290638,48.7885006,2,0.001,0.05,1743096695,1.125,0.35,30,0.1,30,29.66977366,0.8,0.25,0.02
82.237,68.43621942,90,22.57129053,48.02550488,2,0.001,0.05,1743096695,1.621875,0.35,30,0.1,30,30.2037762,0.8,0.25,0.02
82.55,75.15145348,90,21.5066345,45.79987342,2,0.001,0.05,1743096695,1.14375,0.35,30,0.1,30,31.54889604,0.8,0.25,0.02
82.858,69.93941842,90,20.98878426,44.85672041,2,0.001,0.05,1743096695,1.134375,0.35,30,0.1,30,31.33688889,0.8,0.25,0.02
83.157,69.56488422,90,20.41859156,43.71110113,2,0.001,0.05,1743096695,0.0421875,0.35,30,0.1,30,30.55066247,0.8,0.25,0.02
83.455,70.3134876,90,19.95282348,42.80291711,2,0.001,0.05,1743096696,0,0.35,30,0.1,30,28.74282893,0.8,0.25,0.02
83.749,70.81157604,90,19.46267154,41.82296678,2,0.001,0.05,1743096696,0,0.35,30,0.1,30,29.10687077,0.8,0.25,0.02
84.043,72.42782607,90,18.93749497,40.77208357,2,0.001,0.05,1743096696,0,0.35,30,0.1,30,30.323671,0.8,0.25,0.02
84.337,77.13010355,90,19.08607575,41.18955252,2,0.001,0.05,1743096696,0,0.35,30,0.1,30,32.60890961,0.8,0.25,0.02
84.645,72.55176593,90,18.58652422,40.08983008,2,0.001,0.05,1743096696,0,0.35,30,0.1,30,28.90332749,0.8,0.25,0.02
84.944,72.1798564,90,18.14934089,39.22889488,2,0.001,0.05,1743096697,0,0.35,30,0.1,30,29.5964465,0.8,0.25,0.02
85.241,73.04725046,90,17.68823778,38.30741011,2,0.001,0.05,1743096697,0,0.35,30,0.1,30,29.6296471,0.8,0.25,0.02
85.542,71.93175969,90,18.01020716,39.0879865,2,0.001,0.05,1743096697,0,0.35,30,0.1,30,26.59092538,0.8,0.25,0.02
85.854,67.04983201,90,18.2991658,39.66421441,2,0.001,0.05,1743096697,0,0.35,30,0.1,30,30.059708,0.8,0.25,0.02
86.154,73.91538453,90,17.86411577,38.68061061,2,0.001,0.05,1743096697,0,0.35,30,0.1,30,30.92877723,0.8,0.25,0.02
86.45,74.28633696,90,17.46683084,37.89690111,2,0.001,0.05,1743096698,0,0.35,30,0.1,30,33.07025796,0.8,0.25,0.02
86.743,74.90432643,90,17.0575558,37.08039372,2,0.001,0.05,1743096698,0,0.35,30,0.1,30,30.63869309,0.8,0.25,0.02
87.033,78.73968178,90,16.42637023,35.7838238,2,0.001,0.05,1743096698,0,0.35,30,0.1,30,31.28843283,0.8,0.25,0.02
87.323,75.64756475,90,16.57462411,36.21954105,2,0.001,0.05,1743096698,0,0.35,30,0.1,30,29.45508537,0.8,0.25,0.02
87.593,76.26523721,90,16.20327698,35.38695611,2,0.001,0.05,1743096698,0,0.35,30,0.1,30,28.85897403,0.8,0.25,0.02
87.863,65.27372717,90,16.8938899,36.96981027,2,0.001,0.05,1743096699,0,0.35,30,0.1,30,30.62178775,0.8,0.25,0.02
88.131,74.53356731,90,16.74525822,36.52100155,2,0.001,0.05,1743096699,0,0.35,30,0.1,30,31.24581234,0.8,0.25,0.02
88.399,77.00653132,90,16.23778105,35.44346115,2,0.001,0.05,1743096699,0,0.35,30,0.1,30,29.73655561,0.8,0.25,0.02
88.668,77.37920807,90,15.20484345,33.28434183,2,0.001,0.05,1743096699,0,0.35,30,0.1,30,29.39639048,0.8,0.25,0.02
88.937,74.16270144,90,15.18011176,33.42635228,2,0.001,0.05,1743096699,0,0.35,30,0.1,30,31.23151266,0.8,0.25,0.02
89.211,77.99735691,90,14.80900976,32.62515937,2,0.001,0.05,1743096700,0,0.35,30,0.1,30,27.90046807,0.8,0.25,0.02
89.487,79.11112978,90,14.38832943,31.7791696,2,0.001,0.05,1743096700,0,0.35,30,0.1,30,26.86236225,0.8,0.25,0.02
89.768,89.97301024,90,13.26499658,29.4125148,2,0.001,0.05,1743096700,0,0.35,30,0.1,30,28.83504715,0.8,0.25,0.02
90.051,78.98729,90,12.93102406,28.88916086,2,0.001,0.05,1743096700,0,0.35,30,0.1,30,30.70408261,0.8,0.25,0.02
90.325,76.51231535,90,12.90631624,28.89779588,2,0.001,0.05,1743096700,0,0.35,30,0.1,30,32.1336623,0.8,0.25,0.02
90.6,79.11112978,90,11.52257598,25.88635301,2,0.001,0.05,1743096701,0,0.35,30,0.1,30,31.36082006,0.8,0.25,0.02
90.875,79.85666755,90,10.99026596,24.97955672,2,0.001,0.05,1743096701,0,0.35,30,0.1,30,31.65036841,0.8,0.25,0.02
91.15,80.35300957,90,10.65561813,24.34936465,2,0.001,0.05,1743096701,0,0.35,30,0.1,30,30.34061066,0.8,0.25,0.02
91.422,80.47717995,90,10.34582094,23.73621589,2,0.001,0.05,1743096701,0,0.35,30,0.1,30,28.79076071,0.8,0.25,0.02
91.693,80.97423055,90,9.664668032,22.30802415,2,0.001,0.05,1743096701,0,0.35,30,0.1,30,30.2798329,0.8,0.25,0.02
91.977,81.47386436,90,9.317017287,21.67954447,2,0.001,0.05,1743096702,0,0.35,30,0.1,30,29.89782203,0.8,0.25,0.02
92.25,81.47386436,90,9.080743829,21.22763319,2,0.001,0.05,1743096702,0,0.35,30,0.1,30,30.69741067,0.8,0.25,0.02
92.523,81.97225656,90,9.880819197,23.02008455,2,0.001,0.05,1743096702,0,0.35,30,0.1,30,30.80648516,0.8,0.25,0.02
